,Team1,Team2,Winner,Prediction,
0,RCB,CSK,CSK,CSK,1
1,SRH,KKR,KKR,KKR,1
2,DC,MI,DC,DC,1
3,KXIP,RR,KXIP,KXIP,1
4,DC,CSK,CSK,CSK,1
5,KKR,KXIP,KKR,KKR,1
6,MI,RCB,MI,RCB,0
7,RR,SRH,SRH,RR,0
8,MI,KXIP,KXIP,KXIP,1
9,KKR,DC,DC,DC,1
10,SRH,RCB,SRH,SRH,1
11,CSK,RR,CSK,CSK,1
12,KXIP,DC,KXIP,KXIP,1
13,RCB,RR,RR,RCB,0
14,MI,CSK,MI,CSK,0
15,DC,SRH,SRH,SRH,1
16,RCB,KKR,KKR,KKR,1
17,CSK,KXIP,CSK,CSK,1
18,MI,SRH,MI,MI,1
19,RCB,DC,DC,DC,1
20,RR,KKR,KKR,KKR,1
21,SRH,KXIP,KXIP,SRH,0
22,KKR,CSK,CSK,CSK,1
23,KXIP,MI,MI,MI,1
24,RR,CSK,CSK,CSK,1
25,KKR,DC,DC,DC,1
26,MI,RR,RR,RR,1
27,KXIP,RCB,RCB,RCB,1
28,KKR,CSK,CSK,CSK,1
29,DC,SRH,DC,SRH,0
30,RCB,MI,MI,MI,1
31,KXIP,RR,KXIP,KXIP,1
32,CSK,SRH,SRH,SRH,1
33,MI,DC,MI,DC,0
34,RCB,KKR,RCB,KKR,0
35,MI,RR,RR,MI,0
36,KXIP,DC,DC,DC,1
37,KKR,SRH,SRH,KKR,0
38,RCB,CSK,RCB,CSK,0
39,RR,DC,DC,RR,0
40,SRH,CSK,CSK,CSK,1
41,RCB,KXIP,RCB,RCB,1
42,KKR,RR,RR,RR,1
43,MI,CSK,MI,CSK,0
44,SRH,RR,RR,SRH,0
45,DC,RCB,DC,DC,1
46,KKR,MI,KKR,KKR,1
47,SRH,KXIP,SRH,SRH,1
48,CSK,DC,CSK,CSK,1
49,MI,SRH,MI,MI,1
50,KXIP,KKR,KKR,KKR,1
51,RR,DC,DC,RR,0
52,SRH,RCB,RCB,RCB,1
53,CSK,KXIP,KXIP,CSK,0
54,KKR,MI,MI,KKR,0
55,CSK,MI,MI,MI,1
56,SRH,DC,DC,DC,1
57,DC,CSK,CSK,CSK,1
58,MI,CSK,MI,MI,1
