,Team1,Team2,Winner,Prediction
0,RCB,CSK,CSK,CSK
1,SRH,KKR,KKR,KKR
2,DC,MI,DC,DC
3,KXIP,RR,KXIP,KXIP
4,DC,CSK,CSK,CSK
5,KKR,KXIP,KKR,KKR
6,MI,RCB,MI,RCB
7,RR,SRH,SRH,RR
8,MI,KXIP,KXIP,KXIP
9,KKR,DC,DC,DC
10,SRH,RCB,SRH,SRH
11,CSK,RR,CSK,CSK
12,KXIP,DC,KXIP,KXIP
13,RCB,RR,RR,RCB
14,MI,CSK,MI,CSK
15,DC,SRH,SRH,SRH
16,RCB,KKR,KKR,KKR
17,CSK,KXIP,CSK,CSK
18,MI,SRH,MI,MI
19,RCB,DC,DC,DC
20,RR,KKR,KKR,KKR
21,SRH,KXIP,KXIP,SRH
22,KKR,CSK,CSK,CSK
23,KXIP,MI,MI,MI
24,RR,CSK,CSK,CSK
25,KKR,DC,DC,DC
26,MI,RR,RR,RR
27,KXIP,RCB,RCB,RCB
28,KKR,CSK,CSK,CSK
29,DC,SRH,DC,SRH
30,RCB,MI,MI,MI
31,KXIP,RR,KXIP,KXIP
32,CSK,SRH,SRH,SRH
33,MI,DC,MI,DC
34,RCB,KKR,RCB,KKR
35,MI,RR,RR,MI
36,KXIP,DC,DC,DC
37,KKR,SRH,SRH,KKR
38,RCB,CSK,RCB,CSK
39,RR,DC,DC,RR
40,SRH,CSK,CSK,CSK
41,RCB,KXIP,RCB,RCB
42,KKR,RR,RR,RR
43,MI,CSK,MI,CSK
44,SRH,RR,RR,SRH
45,DC,RCB,DC,DC
46,KKR,MI,KKR,KKR
47,SRH,KXIP,SRH,SRH
48,CSK,DC,CSK,CSK
49,MI,SRH,MI,MI
50,KXIP,KKR,KKR,KKR
51,RR,DC,DC,RR
52,SRH,RCB,RCB,RCB
53,CSK,KXIP,KXIP,CSK
54,KKR,MI,MI,KKR
55,CSK,MI,MI,MI
56,SRH,DC,DC,DC
57,DC,CSK,CSK,CSK
58,MI,CSK,MI,MI
